Title,Author,Link,Bookshelf,Code
Andrew Marvell,Augustine Birrell,http://www.gutenberg.org/ebooks/17388,Biographies,17388
Bacon,R. W. Church,http://www.gutenberg.org/ebooks/13888,Biographies,13888
Kepler,Walter W. Bryant,http://www.gutenberg.org/ebooks/12406,Biographies,12406
Knights of Art: Stories of the Italian Painters,Amy Steedman,http://www.gutenberg.org/ebooks/529,Biographies,529
Martin Luther,Carl E. Koppenhaver,http://www.gutenberg.org/ebooks/53499,Biographies,53499
Queen Victoria,E. Gordon Browne,http://www.gutenberg.org/ebooks/16965,Biographies,16965
Real Soldiers of Fortune,Richard Harding Davis,http://www.gutenberg.org/ebooks/3029,Biographies,3029
Alice's Adventures in Wonderland,Lewis Carroll,http://www.gutenberg.org/ebooks/11,Children's,11
Little Women,Louisa May Alcott,http://www.gutenberg.org/ebooks/514,Children's,514
Peter Pan,J. M. Barrie,http://www.gutenberg.org/ebooks/16,Children's,16
The Wonderful Wizard of Oz,L. Frank Baum,http://www.gutenberg.org/ebooks/55,Children's,55
Treasure Island,Robert Louis Stevenson,http://www.gutenberg.org/ebooks/120,Children's,120
A Little Princess,Frances Hodgson Burnett,http://www.gutenberg.org/ebooks/146,Children's,146
Aristotle on the art of poetry,Aristotle,http://www.gutenberg.org/ebooks/6763,Classical,6763
The Consolation of Philosophy,Boethius,http://www.gutenberg.org/ebooks/14328,Classical,14328
The Germany and the Agricola of Tacitus,Cornelius Tacitus,http://www.gutenberg.org/ebooks/7524,Classical,7524
The Golden Asse,Apuleius,http://www.gutenberg.org/ebooks/1666,Classical,1666
The Odyssey,Homer,http://www.gutenberg.org/ebooks/1727,Classical,1727
"New York Times Current History: The European War, Vol 1, No. 1",Various,http://www.gutenberg.org/ebooks/13635,Current,13635
"New York Times Current History; The European War, Vol 2, No. 3, June, 1915",,http://www.gutenberg.org/ebooks/15480,Current,15480
"New York Times Current History: The European War, Vol 2, No. 1, April, 1915",,http://www.gutenberg.org/ebooks/15478,Current,15478
New York Times Current History: The European War from the Beginning to March,,http://www.gutenberg.org/ebooks/16331,Current,16331
"New York Times Current History; The European War, Vol 2, No. 2, May, 1915",,http://www.gutenberg.org/ebooks/15479,Current,15479
"The New York Times Current History: the European War, February, 1915",Various,http://www.gutenberg.org/ebooks/18880,Current,18880
"The New York Times Current History, A Monthly Magazine",Various,http://www.gutenberg.org/ebooks/20521,Current,20521
"New York Times Current History; The European War, Vol 2, No. 4, July, 1915",,http://www.gutenberg.org/ebooks/26377,Current,26377
"New York Times Current History; The European War, Vol 2, No. 5, August, 1915",,http://www.gutenberg.org/ebooks/22460,Current,22460
"Current History, Vol. VIII, No. 3, June 1918",Various,http://www.gutenberg.org/ebooks/41479,Current,41479
