,0,1,2,3
0,"(0, 0.88688445)","(3, 0.11091637)",,
1,"(2, 0.54565394)","(4, 0.4532522)",,
2,"(4, 0.9959062)",,,
3,"(2, 0.9905237)",,,
4,"(4, 0.998256)",,,
5,"(3, 0.9994169)",,,
6,"(4, 0.998314)",,,
7,"(3, 0.9978346)",,,
8,"(3, 0.18998541)","(4, 0.8048383)",,
9,"(0, 0.9865281)",,,
10,"(3, 0.9959689)",,,
11,"(0, 0.99904335)",,,
12,"(1, 0.99900347)",,,
13,"(0, 0.20758802)","(4, 0.7882363)",,
14,"(0, 0.99905825)",,,
15,"(3, 0.993964)",,,
16,"(1, 0.99880075)",,,
17,"(1, 0.010784186)","(2, 0.46353808)","(3, 0.13993208)","(4, 0.38419113)"
18,"(4, 0.99832225)",,,
19,"(3, 0.998848)",,,
20,"(1, 0.99949104)",,,
21,"(0, 0.99921685)",,,
22,"(4, 0.9993482)",,,
23,"(1, 0.013158841)","(4, 0.98568165)",,
24,"(1, 0.9978674)",,,
25,"(1, 0.025461184)","(2, 0.77447414)","(4, 0.19151075)",
26,"(2, 0.9977732)",,,
27,"(1, 0.9986442)",,,
28,"(0, 0.9992827)",,,
29,"(0, 0.9997117)",,,
30,"(0, 0.8763133)","(1, 0.043215774)","(3, 0.079514936)",
31,"(2, 0.99894947)",,,
32,"(0, 0.82477367)","(2, 0.17097172)",,
33,"(0, 0.99877036)",,,
34,"(0, 0.99860233)",,,
35,"(4, 0.9995218)",,,
36,"(1, 0.99959826)",,,
37,"(0, 0.9992181)",,,
38,"(3, 0.99676836)",,,
39,"(0, 0.9981458)",,,
40,"(3, 0.999417)",,,
41,"(1, 0.9990037)",,,
42,"(0, 0.9987825)",,,
43,"(0, 0.99844956)",,,
44,"(2, 0.99836224)",,,
45,"(2, 0.99986875)",,,
